p,refinements,gmg_throughput,amg_throughput
1,2,295326.9455030717,468176.7503025567
1,3,191368.01746631874,356825.83181912964
1,4,138867.11737905856,259623.92936149295
1,5,128787.17341092479,224062.9638211662
1,6,101360.21807151218,179970.98130271368
2,2,139669.10350134666,
2,3,94299.29230462835,
2,4,94698.37264598323,
2,5,75826.48607841473,
3,2,45077.45418459499,
3,3,38500.961814285474,
3,4,30501.395865861108,
