p,refinements,ratio
1,2,0.3195667145471359
1,3,0.22142986038242762
1,4,0.09545747634650548
1,5,0.1055439750043079
2,2,0.3573571942943654
2,3,0.37880053578372763
2,4,0.28147642549616725
2,5,0.05172287060706782
3,2,0.761453715869876
3,3,0.30740509811113137
3,4,0.10026188080724396
