folder                       dim  degree  refinements  shy  smoothing  threshold  gmg_iterations  gmg_solve_time  smoother_sweep_time  amg_iterations  amg_solve_time
2D_p1_ref9_shy2_smo2_th0.75  2    1       9            2    2          0.75       14              43.5579         1.27367              16              6.24298       
2D_p1_ref9_shy2_smo2_th1.    2    1       9            2    2          1.         12              37.9533         1.28563              17              6.67888       
2D_p1_ref9_shy2_smo3_th0.25  2    1       9            2    3          0.25       14              44.5777         1.46432              15              5.73152       
2D_p1_ref9_shy2_smo3_th0.5   2    1       9            2    3          0.5        14              44.8086         1.46356              16              6.30324       
2D_p1_ref9_shy2_smo3_th0.75  2    1       9            2    3          0.75       14              44.0501         1.28667              16              6.16349       
2D_p1_ref9_shy2_smo3_th1.    2    1       9            2    3          1.         12              38.1338         1.29041              17              6.66675       
2D_p1_ref9_shy3_smo1_th0.25  2    1       9            3    1          0.25       14              43.4734         1.28654              15              5.76397       
2D_p1_ref9_shy3_smo1_th0.5   2    1       9            3    1          0.5        14              43.8634         1.51647              16              6.23045       
2D_p1_ref9_shy3_smo1_th0.75  2    1       9            3    1          0.75       14              43.301          1.27274              16              6.2439        
2D_p1_ref9_shy3_smo1_th1.    2    1       9            3    1          1.         13              41.2251         1.45801              17              6.75138       
2D_p1_ref9_shy3_smo2_th0.25  2    1       9            3    2          0.25       14              43.5273         1.281                15              5.77502       
2D_p1_ref9_shy3_smo2_th0.5   2    1       9            3    2          0.5        14              44.1242         1.56885              16              6.31224       
2D_p1_ref9_shy3_smo2_th0.75  2    1       9            3    2          0.75       14              44.3084         1.4623               16              6.15164       
2D_p1_ref9_shy3_smo2_th1.    2    1       9            3    2          1.         12              38.0658         1.45187              17              6.68737       
2D_p1_ref9_shy3_smo3_th0.25  2    1       9            3    3          0.25       14              44.1353         1.53755              15              5.64506       
2D_p1_ref9_shy3_smo3_th0.5   2    1       9            3    3          0.5        14              43.9342         1.27913              16              6.12498       
2D_p1_ref9_shy3_smo3_th0.75  2    1       9            3    3          0.75       14              44.0853         1.28935              16              6.17773       
2D_p1_ref9_shy3_smo3_th1.    2    1       9            3    3          1.         12              38.3421         1.43636              17              6.77998       
2D_p2_ref2_shy1_smo1_th0.25  2    2       2            1    1          0.25       7               0.00282567      0.000179316                                        
2D_p2_ref2_shy1_smo1_th0.5   2    2       2            1    1          0.5        6               0.00239892      0.000165857                                        
2D_p2_ref2_shy1_smo1_th0.75  2    2       2            1    1          0.75       6               0.00234456      0.000160687                                        
2D_p2_ref2_shy1_smo1_th1.    2    2       2            1    1          1.         6               0.0021816       0.000160317                                        
2D_p2_ref2_shy1_smo2_th0.25  2    2       2            1    2          0.25       6               0.0032377       0.000209396                                        
2D_p2_ref2_shy1_smo2_th0.5   2    2       2            1    2          0.5        5               0.00268775      0.000203947                                        
2D_p2_ref2_shy1_smo2_th0.75  2    2       2            1    2          0.75       5               0.00252644      0.000190556                                        
2D_p2_ref2_shy1_smo2_th1.    2    2       2            1    2          1.         4               0.00203138      0.000195946                                        
2D_p2_ref2_shy1_smo3_th0.25  2    2       2            1    3          0.25       5               0.00344902      0.000244316                                        
2D_p2_ref2_shy1_smo3_th0.5   2    2       2            1    3          0.5        5               0.00322334      0.000251505                                        
2D_p2_ref2_shy1_smo3_th0.75  2    2       2            1    3          0.75       5               0.00305495      0.000227745                                        
2D_p2_ref2_shy1_smo3_th1.    2    2       2            1    3          1.         4               0.0024797       0.000221335                                        
2D_p2_ref2_shy2_smo1_th0.25  2    2       2            2    1          0.25       7               0.00274274      0.000176796                                        
2D_p2_ref2_shy2_smo1_th0.5   2    2       2            2    1          0.5        6               0.00232488      0.000164636                                        
2D_p2_ref2_shy2_smo1_th0.75  2    2       2            2    1          0.75       6               0.00226416      0.000162057                                        
2D_p2_ref2_shy2_smo1_th1.    2    2       2            2    1          1.         6               0.00210474      0.000151067                                        
2D_p2_ref2_shy2_smo2_th0.25  2    2       2            2    2          0.25       6               0.0029505       0.000199286                                        
2D_p2_ref2_shy2_smo2_th0.5   2    2       2            2    2          0.5        5               0.00250313      0.000193836                                        
2D_p2_ref2_shy2_smo2_th0.75  2    2       2            2    2          0.75       5               0.00240727      0.000185746                                        
2D_p2_ref2_shy2_smo2_th1.    2    2       2            2    2          1.         4               0.00190772      0.000185627                                        
2D_p2_ref2_shy2_smo3_th0.25  2    2       2            2    3          0.25       5               0.00311853      0.000227776                                        
2D_p2_ref2_shy2_smo3_th0.5   2    2       2            2    3          0.5        5               0.00299746      0.000232266                                        
2D_p2_ref2_shy2_smo3_th0.75  2    2       2            2    3          0.75       5               0.00290306      0.000227005                                        
2D_p2_ref2_shy2_smo3_th1.    2    2       2            2    3          1.         4               0.00222221      0.000218186                                        
2D_p2_ref2_shy3_smo1_th0.25  2    2       2            3    1          0.25       7               0.00265834      0.000159547                                        
2D_p2_ref2_shy3_smo1_th0.5   2    2       2            3    1          0.5        7               0.00246502      0.000149528                                        
2D_p2_ref2_shy3_smo1_th0.75  2    2       2            3    1          0.75       6               0.00211848      0.000153087                                        
2D_p2_ref2_shy3_smo1_th1.    2    2       2            3    1          1.         7               0.00220589      0.000147748                                        
2D_p2_ref2_shy3_smo2_th0.25  2    2       2            3    2          0.25       6               0.00272748      0.000179187                                        
2D_p2_ref2_shy3_smo2_th0.5   2    2       2            3    2          0.5        5               0.00227032      0.000189536                                        
2D_p2_ref2_shy3_smo2_th0.75  2    2       2            3    2          0.75       5               0.00208688      0.000173967                                        
2D_p2_ref2_shy3_smo2_th1.    2    2       2            3    2          1.         5               0.0020311       0.000163657                                        
2D_p2_ref2_shy3_smo3_th0.25  2    2       2            3    3          0.25       5               0.00279967      0.000211316                                        
2D_p2_ref2_shy3_smo3_th0.5   2    2       2            3    3          0.5        5               0.00261267      0.000203557                                        
2D_p2_ref2_shy3_smo3_th0.75  2    2       2            3    3          0.75       5               0.00239778      0.000192777                                        
2D_p2_ref2_shy3_smo3_th1.    2    2       2            3    3          1.         4               0.0020173       0.000189907                                        
2D_p2_ref3_shy1_smo1_th0.25  2    2       3            1    1          0.25       7               0.00930073      0.000508531                                        
2D_p2_ref3_shy1_smo1_th0.5   2    2       3            1    1          0.5        7               0.00913198      0.00051481                                         
2D_p2_ref3_shy1_smo1_th0.75  2    2       3            1    1          0.75       7               0.00880083      0.00049304                                         
2D_p2_ref3_shy1_smo1_th1.    2    2       3            1    1          1.         7               0.00858851      0.000476751                                        
2D_p2_ref3_shy1_smo2_th0.25  2    2       3            1    2          0.25       6               0.00986602      0.000599039                                        
2D_p2_ref3_shy1_smo2_th0.5   2    2       3            1    2          0.5        6               0.00981357      0.000615628                                        
2D_p2_ref3_shy1_smo2_th0.75  2    2       3            1    2          0.75       6               0.00947836      0.000578529                                        
2D_p2_ref3_shy1_smo2_th1.    2    2       3            1    2          1.         6               0.00904954      0.000577449                                        
2D_p2_ref3_shy1_smo3_th0.25  2    2       3            1    3          0.25       7               0.0132501       0.000681507                                        
2D_p2_ref3_shy1_smo3_th0.5   2    2       3            1    3          0.5        6               0.0114491       0.000677977                                        
2D_p2_ref3_shy1_smo3_th0.75  2    2       3            1    3          0.75       6               0.0111918       0.000704266                                        
2D_p2_ref3_shy1_smo3_th1.    2    2       3            1    3          1.         6               0.0107226       0.000667327                                        
2D_p2_ref3_shy2_smo1_th0.25  2    2       3            2    1          0.25       7               0.00908546      0.00050838                                         
2D_p2_ref3_shy2_smo1_th0.5   2    2       3            2    1          0.5        7               0.00892629      0.000483071                                        
2D_p2_ref3_shy2_smo1_th0.75  2    2       3            2    1          0.75       7               0.00874556      0.00049564                                         
2D_p2_ref3_shy2_smo1_th1.    2    2       3            2    1          1.         7               0.00823917      0.000472112                                        
2D_p2_ref3_shy2_smo2_th0.25  2    2       3            2    2          0.25       6               0.00941903      0.000585099                                        
2D_p2_ref3_shy2_smo2_th0.5   2    2       3            2    2          0.5        6               0.00920664      0.000579989                                        
2D_p2_ref3_shy2_smo2_th0.75  2    2       3            2    2          0.75       6               0.00906037      0.00055851                                         
2D_p2_ref3_shy2_smo2_th1.    2    2       3            2    2          1.         6               0.00864226      0.00054664                                         
2D_p2_ref3_shy2_smo3_th0.25  2    2       3            2    3          0.25       7               0.0124307       0.000652497                                        
2D_p2_ref3_shy2_smo3_th0.5   2    2       3            2    3          0.5        6               0.0109171       0.000658897                                        
2D_p2_ref3_shy2_smo3_th0.75  2    2       3            2    3          0.75       6               0.0104838       0.000662167                                        
2D_p2_ref3_shy2_smo3_th1.    2    2       3            2    3          1.         6               0.0100145       0.000682497                                        
2D_p2_ref3_shy3_smo1_th0.25  2    2       3            3    1          0.25       7               0.00860865      0.000469361                                        
2D_p2_ref3_shy3_smo1_th0.5   2    2       3            3    1          0.5        8               0.00955893      0.000484411                                        
2D_p2_ref3_shy3_smo1_th0.75  2    2       3            3    1          0.75       7               0.00826012      0.000466341                                        
2D_p2_ref3_shy3_smo1_th1.    2    2       3            3    1          1.         8               0.00899596      0.000455132                                        
2D_p2_ref3_shy3_smo2_th0.25  2    2       3            3    2          0.25       7               0.0100608       0.00054097                                         
2D_p2_ref3_shy3_smo2_th0.5   2    2       3            3    2          0.5        6               0.00847324      0.00052984                                         
2D_p2_ref3_shy3_smo2_th0.75  2    2       3            3    2          0.75       6               0.00820786      0.00053242                                         
2D_p2_ref3_shy3_smo2_th1.    2    2       3            3    2          1.         5               0.00690814      0.00050904                                         
2D_p2_ref3_shy3_smo3_th0.25  2    2       3            3    3          0.25       7               0.0111897       0.000600659                                        
2D_p2_ref3_shy3_smo3_th0.5   2    2       3            3    3          0.5        6               0.009518        0.000602739                                        
2D_p2_ref3_shy3_smo3_th0.75  2    2       3            3    3          0.75       6               0.00924576      0.000599959                                        
2D_p2_ref3_shy3_smo3_th1.    2    2       3            3    3          1.         6               0.0090144       0.000573119                                        
2D_p2_ref4_shy1_smo1_th0.25  2    2       4            1    1          0.25       7               0.049005        0.00255048                                         
2D_p2_ref4_shy1_smo1_th0.5   2    2       4            1    1          0.5        8               0.0540133       0.00250197                                         
2D_p2_ref4_shy1_smo1_th0.75  2    2       4            1    1          0.75       8               0.0530272       0.0024696                                          
2D_p2_ref4_shy1_smo1_th1.    2    2       4            1    1          1.         9               0.0569162       0.00240973                                         
2D_p2_ref4_shy1_smo2_th0.25  2    2       4            1    2          0.25       7               0.0591126       0.00291127                                         
2D_p2_ref4_shy1_smo2_th0.5   2    2       4            1    2          0.5        7               0.0575768       0.00283486                                         
2D_p2_ref4_shy1_smo2_th0.75  2    2       4            1    2          0.75       7               0.0564493       0.00278615                                         
2D_p2_ref4_shy1_smo2_th1.    2    2       4            1    2          1.         8               0.0617949       0.0027523                                          
2D_p2_ref4_shy1_smo3_th0.25  2    2       4            1    3          0.25       7               0.0684808       0.0032463                                          
2D_p2_ref4_shy1_smo3_th0.5   2    2       4            1    3          0.5        7               0.0668055       0.00316067                                         
2D_p2_ref4_shy1_smo3_th0.75  2    2       4            1    3          0.75       7               0.0660101       0.00320653                                         
2D_p2_ref4_shy1_smo3_th1.    2    2       4            1    3          1.         7               0.0642717       0.0030912                                          
2D_p2_ref4_shy2_smo1_th0.25  2    2       4            2    1          0.25       7               0.0479218       0.00250714                                         
2D_p2_ref4_shy2_smo1_th0.5   2    2       4            2    1          0.5        8               0.0528547       0.0024459                                          
2D_p2_ref4_shy2_smo1_th0.75  2    2       4            2    1          0.75       8               0.0519067       0.00243119                                         
2D_p2_ref4_shy2_smo1_th1.    2    2       4            2    1          1.         9               0.0560526       0.00235285                                         
2D_p2_ref4_shy2_smo2_th0.25  2    2       4            2    2          0.25       7               0.0565585       0.00282224                                         
2D_p2_ref4_shy2_smo2_th0.5   2    2       4            2    2          0.5        7               0.055757        0.00277617                                         
2D_p2_ref4_shy2_smo2_th0.75  2    2       4            2    2          0.75       7               0.0545209       0.00275865                                         
2D_p2_ref4_shy2_smo2_th1.    2    2       4            2    2          1.         8               0.0591956       0.00268866                                         
2D_p2_ref4_shy2_smo3_th0.25  2    2       4            2    3          0.25       7               0.065127        0.00313582                                         
2D_p2_ref4_shy2_smo3_th0.5   2    2       4            2    3          0.5        7               0.0639859       0.00307769                                         
2D_p2_ref4_shy2_smo3_th0.75  2    2       4            2    3          0.75       7               0.0628348       0.00304069                                         
2D_p2_ref4_shy2_smo3_th1.    2    2       4            2    3          1.         7               0.0604574       0.00299026                                         
2D_p2_ref4_shy3_smo1_th0.25  2    2       4            3    1          0.25       8               0.0515674       0.00242368                                         
2D_p2_ref4_shy3_smo1_th0.5   2    2       4            3    1          0.5        8               0.0507512       0.00239449                                         
2D_p2_ref4_shy3_smo1_th0.75  2    2       4            3    1          0.75       8               0.0492986       0.00231263                                         
2D_p2_ref4_shy3_smo1_th1.    2    2       4            3    1          1.         10              0.0587508       0.00229272                                         
2D_p2_ref4_shy3_smo2_th0.25  2    2       4            3    2          0.25       7               0.0528896       0.00268166                                         
2D_p2_ref4_shy3_smo2_th0.5   2    2       4            3    2          0.5        7               0.051593        0.0025973                                          
2D_p2_ref4_shy3_smo2_th0.75  2    2       4            3    2          0.75       7               0.0501705       0.00257114                                         
2D_p2_ref4_shy3_smo2_th1.    2    2       4            3    2          1.         8               0.0553106       0.00255901                                         
2D_p2_ref4_shy3_smo3_th0.25  2    2       4            3    3          0.25       7               0.0598269       0.00293744                                         
2D_p2_ref4_shy3_smo3_th0.5   2    2       4            3    3          0.5        7               0.057639        0.00285355                                         
2D_p2_ref4_shy3_smo3_th0.75  2    2       4            3    3          0.75       7               0.0564147       0.00281266                                         
2D_p2_ref4_shy3_smo3_th1.    2    2       4            3    3          1.         7               0.0551896       0.00278221                                         
2D_p2_ref5_shy1_smo1_th0.25  2    2       5            1    1          0.25       8               0.269611        0.0115539                                          
2D_p2_ref5_shy1_smo1_th0.5   2    2       5            1    1          0.5        9               0.296366        0.0114657                                          
2D_p2_ref5_shy1_smo1_th0.75  2    2       5            1    1          0.75       8               0.264556        0.0114088                                          
2D_p2_ref5_shy1_smo1_th1.    2    2       5            1    1          1.         10              0.317621        0.0111921                                          
2D_p2_ref5_shy1_smo2_th0.25  2    2       5            1    2          0.25       8               0.291563        0.0122267                                          
2D_p2_ref5_shy1_smo2_th0.5   2    2       5            1    2          0.5        8               0.288622        0.0121877                                          
2D_p2_ref5_shy1_smo2_th0.75  2    2       5            1    2          0.75       8               0.286232        0.012065                                           
2D_p2_ref5_shy1_smo2_th1.    2    2       5            1    2          1.         8               0.280322        0.0118506                                          
2D_p2_ref5_shy1_smo3_th0.25  2    2       5            1    3          0.25       8               0.312632        0.0127966                                          
2D_p2_ref5_shy1_smo3_th0.5   2    2       5            1    3          0.5        8               0.309766        0.0127584                                          
2D_p2_ref5_shy1_smo3_th0.75  2    2       5            1    3          0.75       8               0.305741        0.0125979                                          
2D_p2_ref5_shy1_smo3_th1.    2    2       5            1    3          1.         7               0.267276        0.0124746                                          
2D_p2_ref5_shy2_smo1_th0.25  2    2       5            2    1          0.25       8               0.266568        0.0115244                                          
2D_p2_ref5_shy2_smo1_th0.5   2    2       5            2    1          0.5        9               0.294332        0.0113932                                          
2D_p2_ref5_shy2_smo1_th0.75  2    2       5            2    1          0.75       8               0.262288        0.01134                                            
2D_p2_ref5_shy2_smo1_th1.    2    2       5            2    1          1.         10              0.313991        0.0112029                                          
2D_p2_ref5_shy2_smo2_th0.25  2    2       5            2    2          0.25       8               0.285431        0.0120946                                          
2D_p2_ref5_shy2_smo2_th0.5   2    2       5            2    2          0.5        8               0.283247        0.0119509                                          
2D_p2_ref5_shy2_smo2_th0.75  2    2       5            2    2          0.75       8               0.281508        0.0119471                                          
2D_p2_ref5_shy2_smo2_th1.    2    2       5            2    2          1.         8               0.275798        0.0117978                                          
2D_p2_ref5_shy2_smo3_th0.25  2    2       5            2    3          0.25       8               0.303784        0.0127263                                          
2D_p2_ref5_shy2_smo3_th0.5   2    2       5            2    3          0.5        8               0.302041        0.0125196                                          
2D_p2_ref5_shy2_smo3_th0.75  2    2       5            2    3          0.75       8               0.299931        0.0125356                                          
2D_p2_ref5_shy2_smo3_th1.    2    2       5            2    3          1.         7               0.261297        0.0123334                                          
2D_p2_ref5_shy3_smo1_th0.25  2    2       5            3    1          0.25       8               0.261703        0.0113496                                          
2D_p2_ref5_shy3_smo1_th0.5   2    2       5            3    1          0.5        9               0.287407        0.0112095                                          
2D_p2_ref5_shy3_smo1_th0.75  2    2       5            3    1          0.75       10              0.313526        0.0111179                                          
2D_p2_ref5_shy3_smo1_th1.    2    2       5            3    1          1.         11              0.336083        0.0109535                                          
2D_p2_ref5_shy3_smo2_th0.25  2    2       5            3    2          0.25       8               0.276849        0.0118608                                          
2D_p2_ref5_shy3_smo2_th0.5   2    2       5            3    2          0.5        8               0.273845        0.0117018                                          
2D_p2_ref5_shy3_smo2_th0.75  2    2       5            3    2          0.75       8               0.271297        0.0116968                                          
2D_p2_ref5_shy3_smo2_th1.    2    2       5            3    2          1.         8               0.26568         0.0114035                                          
2D_p2_ref5_shy3_smo3_th0.25  2    2       5            3    3          0.25       8               0.291271        0.0122064                                          
2D_p2_ref5_shy3_smo3_th0.5   2    2       5            3    3          0.5        8               0.287926        0.0121878                                          
2D_p2_ref5_shy3_smo3_th0.75  2    2       5            3    3          0.75       8               0.284603        0.0121336                                          
2D_p2_ref5_shy3_smo3_th1.    2    2       5            3    3          1.         7               0.247715        0.0118103                                          
2D_p2_ref7_shy1_smo1_th0.25  2    2       7            1    1          0.25       11              7.33419         0.246618                                           
2D_p2_ref7_shy1_smo1_th0.5   2    2       7            1    1          0.5        11              7.32552         0.250139                                           
2D_p2_ref7_shy1_smo1_th0.75  2    2       7            1    1          0.75       11              7.2432          0.252192                                           
2D_p2_ref7_shy1_smo1_th1.    2    2       7            1    1          1.         14              9.09568         0.243463                                           
2D_p2_ref7_shy1_smo2_th0.25  2    2       7            1    2          0.25       10              6.88572         0.253069                                           
2D_p2_ref7_shy1_smo2_th0.5   2    2       7            1    2          0.5        10              6.86157         0.249102                                           
2D_p2_ref7_shy1_smo2_th0.75  2    2       7            1    2          0.75       11              7.43163         0.247344                                           
2D_p2_ref7_shy1_smo2_th1.    2    2       7            1    2          1.         11              7.39712         0.247245                                           
2D_p2_ref7_shy1_smo3_th0.25  2    2       7            1    3          0.25       10              6.98177         0.254397                                           
2D_p2_ref7_shy1_smo3_th0.5   2    2       7            1    3          0.5        10              6.96369         0.25486                                            
2D_p2_ref7_shy1_smo3_th0.75  2    2       7            1    3          0.75       10              6.9331          0.24774                                            
2D_p2_ref7_shy1_smo3_th1.    2    2       7            1    3          1.         9               6.3749          0.248975                                           
2D_p2_ref7_shy2_smo1_th0.25  2    2       7            2    1          0.25       11              7.34952         0.248273                                           
2D_p2_ref7_shy2_smo1_th0.5   2    2       7            2    1          0.5        11              7.35167         0.246315                                           
2D_p2_ref7_shy2_smo1_th0.75  2    2       7            2    1          0.75       11              7.25009         0.250026                                           
2D_p2_ref7_shy2_smo1_th1.    2    2       7            2    1          1.         14              9.08005         0.248541                                           
2D_p2_ref7_shy2_smo2_th0.25  2    2       7            2    2          0.25       10              6.84827         0.247224                                           
2D_p2_ref7_shy2_smo2_th0.5   2    2       7            2    2          0.5        10              6.8134          0.251873                                           
2D_p2_ref7_shy2_smo2_th0.75  2    2       7            2    2          0.75       11              7.37029         0.254343                                           
2D_p2_ref7_shy2_smo2_th1.    2    2       7            2    2          1.         11              7.39945         0.253406                                           
2D_p2_ref7_shy2_smo3_th0.25  2    2       7            2    3          0.25       10              6.9379          0.250022                                           
2D_p2_ref7_shy2_smo3_th0.5   2    2       7            2    3          0.5        10              6.91527         0.252365                                           
2D_p2_ref7_shy2_smo3_th0.75  2    2       7            2    3          0.75       10              6.85193         0.257974                                           
2D_p2_ref7_shy2_smo3_th1.    2    2       7            2    3          1.         9               6.29544         0.246907                                           
2D_p2_ref7_shy3_smo1_th0.25  2    2       7            3    1          0.25       11              7.25971         0.246167                                           
2D_p2_ref7_shy3_smo1_th0.5   2    2       7            3    1          0.5        11              7.26141         0.254296                                           
2D_p2_ref7_shy3_smo1_th0.75  2    2       7            3    1          0.75       13              8.41458         0.252294                                           
2D_p2_ref7_shy3_smo1_th1.    2    2       7            3    1          1.         17              10.801          0.250323                                           
2D_p2_ref7_shy3_smo2_th0.25  2    2       7            3    2          0.25       10              6.80658         0.247236                                           
2D_p2_ref7_shy3_smo2_th0.5   2    2       7            3    2          0.5        10              6.76312         0.250579                                           
2D_p2_ref7_shy3_smo2_th0.75  2    2       7            3    2          0.75       11              7.31253         0.244633                                           
2D_p2_ref7_shy3_smo2_th1.    2    2       7            3    2          1.         11              7.30284         0.253554                                           
2D_p2_ref7_shy3_smo3_th0.25  2    2       7            3    3          0.25       10              6.88565         0.2507                                             
2D_p2_ref7_shy3_smo3_th0.5   2    2       7            3    3          0.5        10              6.86029         0.247182                                           
2D_p2_ref7_shy3_smo3_th0.75  2    2       7            3    3          0.75       10              6.76871         0.255407                                           
2D_p2_ref7_shy3_smo3_th1.    2    2       7            3    3          1.         9               6.20488         0.245568                                           
2D_p2_ref8_shy1_smo1_th0.25  2    2       8            1    1          0.25       12              32.2467         0.98328                                            
2D_p2_ref8_shy1_smo1_th0.5   2    2       8            1    1          0.5        14              37.3016         0.976204                                           
2D_p2_ref8_shy1_smo1_th0.75  2    2       8            1    1          0.75       12              32.6084         1.51086                                            
2D_p2_ref8_shy1_smo1_th1.    2    2       8            1    1          1.         18              47.1046         0.997668                                           
2D_p2_ref8_shy1_smo2_th0.25  2    2       8            1    2          0.25       12              32.7938         0.990472                                           
2D_p2_ref8_shy1_smo2_th0.5   2    2       8            1    2          0.5        11              30.1234         0.991223                                           
2D_p2_ref8_shy1_smo2_th0.75  2    2       8            1    2          0.75       12              32.5746         0.997086                                           
2D_p2_ref8_shy1_smo2_th1.    2    2       8            1    2          1.         12              32.5298         0.995498                                           
2D_p2_ref8_shy1_smo3_th0.25  2    2       8            1    3          0.25       12              32.9575         0.996925                                           
2D_p2_ref8_shy1_smo3_th0.5   2    2       8            1    3          0.5        11              30.4271         1.0025                                             
2D_p2_ref8_shy1_smo3_th0.75  2    2       8            1    3          0.75       11              30.6824         1.54982                                            
2D_p2_ref8_shy1_smo3_th1.    2    2       8            1    3          1.         10              28.2121         1.57168                                            
2D_p2_ref8_shy2_smo1_th0.25  2    2       8            2    1          0.25       12              32.1731         0.981815                                           
2D_p2_ref8_shy2_smo1_th0.5   2    2       8            2    1          0.5        14              37.2209         0.974365                                           
2D_p2_ref8_shy2_smo1_th0.75  2    2       8            2    1          0.75       12              32.206          0.990787                                           
2D_p2_ref8_shy2_smo1_th1.    2    2       8            2    1          1.         18              47.6407         1.59064                                            
2D_p2_ref8_shy2_smo2_th0.25  2    2       8            2    2          0.25       12              32.4404         0.97697                                            
2D_p2_ref8_shy2_smo2_th0.5   2    2       8            2    2          0.5        11              30.1307         0.985403                                           
2D_p2_ref8_shy2_smo2_th0.75  2    2       8            2    2          0.75       12              32.5394         0.992656                                           
2D_p2_ref8_shy2_smo2_th1.    2    2       8            2    2          1.         12              32.7492         1.56359                                            
2D_p2_ref8_shy2_smo3_th0.25  2    2       8            2    3          0.25       12              32.867          0.981094                                           
2D_p2_ref8_shy2_smo3_th0.5   2    2       8            2    3          0.5        11              30.2893         0.989786                                           
2D_p2_ref8_shy2_smo3_th0.75  2    2       8            2    3          0.75       11              30.3583         0.996415                                           
2D_p2_ref8_shy2_smo3_th1.    2    2       8            2    3          1.         10              27.9658         1.55413                                            
2D_p2_ref8_shy3_smo1_th0.25  2    2       8            3    1          0.25       12              32.2347         0.972288                                           
2D_p2_ref8_shy3_smo1_th0.5   2    2       8            3    1          0.5        15              39.7315         0.988765                                           
2D_p2_ref8_shy3_smo1_th0.75  2    2       8            3    1          0.75       18              47.1821         0.978633                                           
2D_p2_ref8_shy3_smo1_th1.    2    2       8            3    1          1.         22              57.1621         1.5576                                             
2D_p2_ref8_shy3_smo2_th0.25  2    2       8            3    2          0.25       12              32.259          0.980186                                           
2D_p2_ref8_shy3_smo2_th0.5   2    2       8            3    2          0.5        10              27.2362         0.972342                                           
2D_p2_ref8_shy3_smo2_th0.75  2    2       8            3    2          0.75       12              32.7783         1.59213                                            
2D_p2_ref8_shy3_smo2_th1.    2    2       8            3    2          1.         13              35.1178         1.55623                                            
2D_p2_ref8_shy3_smo3_th0.25  2    2       8            3    3          0.25       12              32.6998         0.980231                                           
2D_p2_ref8_shy3_smo3_th0.5   2    2       8            3    3          0.5        11              30.1366         0.980841                                           
2D_p2_ref8_shy3_smo3_th0.75  2    2       8            3    3          0.75       11              30.0743         1.00836                                            
2D_p2_ref8_shy3_smo3_th1.    2    2       8            3    3          1.         11              30.4098         1.55151                                            
2D_p2_ref9_shy1_smo1_th0.25  2    2       9            1    1          0.25       20              233.958         5.68209                                            
2D_p2_ref9_shy1_smo1_th0.5   2    2       9            1    1          0.5        24              282.58          5.57041                                            
2D_p2_ref9_shy1_smo1_th0.75  2    2       9            1    1          0.75       25              292.503         5.84717                                            
2D_p2_ref9_shy1_smo1_th1.    2    2       9            1    1          1.         23              270.696         5.60626                                            
2D_p2_ref9_shy1_smo2_th0.25  2    2       9            1    2          0.25       20              236.449         5.68959                                            
2D_p2_ref9_shy1_smo2_th0.5   2    2       9            1    2          0.5        21              248.297         5.73234                                            
2D_p2_ref9_shy1_smo2_th0.75  2    2       9            1    2          0.75       21              246.899         5.90485                                            
2D_p2_ref9_shy1_smo2_th1.    2    2       9            1    2          1.         14              166.607         5.84272                                            
2D_p2_ref9_shy1_smo3_th0.25  2    2       9            1    3          0.25       21              250.411         5.56675                                            
2D_p2_ref9_shy1_smo3_th0.5   2    2       9            1    3          0.5        22              260.852         5.68459                                            
2D_p2_ref9_shy1_smo3_th0.75  2    2       9            1    3          0.75       22              261.833         5.83013                                            
2D_p2_ref9_shy1_smo3_th1.    2    2       9            1    3          1.         12              144.896         5.90258                                            
2D_p2_ref9_shy2_smo1_th0.25  2    2       9            2    1          0.25       20              234.161         5.516                                              
2D_p2_ref9_shy2_smo1_th0.5   2    2       9            2    1          0.5        24              281.342         5.70592                                            
2D_p2_ref9_shy2_smo1_th0.75  2    2       9            2    1          0.75       25              293.42          5.81738                                            
2D_p2_ref9_shy2_smo1_th1.    2    2       9            2    1          1.         23              269.935         5.75469                                            
2D_p2_ref9_shy2_smo2_th0.25  2    2       9            2    2          0.25       20              236.328         5.62623                                            
2D_p2_ref9_shy2_smo2_th0.5   2    2       9            2    2          0.5        21              247.258         5.51225                                            
2D_p2_ref9_shy2_smo2_th0.75  2    2       9            2    2          0.75       21              247.17          5.46707                                            
2D_p2_ref9_shy2_smo2_th1.    2    2       9            2    2          1.         14              165.602         5.74847                                            
2D_p2_ref9_shy2_smo3_th0.25  2    2       9            2    3          0.25       21              247.448         5.63019                                            
2D_p2_ref9_shy2_smo3_th0.5   2    2       9            2    3          0.5        22              260.104         5.51766                                            
2D_p2_ref9_shy2_smo3_th0.75  2    2       9            2    3          0.75       22              261.214         5.77666                                            
2D_p2_ref9_shy2_smo3_th1.    2    2       9            2    3          1.         12              143.254         5.72667                                            
2D_p2_ref9_shy3_smo1_th0.25  2    2       9            3    1          0.25       20              234.714         5.57338                                            
2D_p2_ref9_shy3_smo1_th0.5   2    2       9            3    1          0.5        24              278.839         5.3852                                             
2D_p2_ref9_shy3_smo1_th0.75  2    2       9            3    1          0.75       28              327.661         5.7088                                             
2D_p2_ref9_shy3_smo1_th1.    2    2       9            3    1          1.         29              338.328         5.52391                                            
2D_p2_ref9_shy3_smo2_th0.25  2    2       9            3    2          0.25       20              235.084         5.5761                                             
2D_p2_ref9_shy3_smo2_th0.5   2    2       9            3    2          0.5        21              246.282         5.56076                                            
