folder                       dim  degree  refinements  shy  smoothing  threshold  gmg_iterations  gmg_solve_time  smoother_sweep_time  amg_iterations  amg_solve_time
2D_p1_ref3_shy2_smo2_th0.5   2    1       3            2    2          0.5        9               0.00457532      0.000205886          2               0.000620978   
2D_p1_ref3_shy2_smo2_th0.75  2    1       3            2    2          0.75       9               0.00451601      0.000202886          1               0.000466441   
2D_p1_ref3_shy2_smo2_th1.    2    1       3            2    2          1.         7               0.00355367      0.000197286          2               0.000617568   
2D_p1_ref3_shy2_smo3_th0.25  2    1       3            2    3          0.25       9               0.00525701      0.000226445          2               0.000616127   
2D_p1_ref3_shy2_smo3_th0.5   2    1       3            2    3          0.5        9               0.00518897      0.000223796          2               0.000600978   
2D_p1_ref3_shy2_smo3_th0.75  2    1       3            2    3          0.75       9               0.00514482      0.000231426          1               0.00047638    
2D_p1_ref3_shy2_smo3_th1.    2    1       3            2    3          1.         6               0.0035218       0.000217626          2               0.000619628   
2D_p1_ref3_shy3_smo1_th0.25  2    1       3            3    1          0.25       10              0.00419983      0.000193796          2               0.000599738   
2D_p1_ref3_shy3_smo1_th0.5   2    1       3            3    1          0.5        10              0.00411423      0.000174347          2               0.000616817   
2D_p1_ref3_shy3_smo1_th0.75  2    1       3            3    1          0.75       10              0.0039337       0.000187847          1               0.00050117    
2D_p1_ref3_shy3_smo1_th1.    2    1       3            3    1          1.         8               0.0031808       0.000173366          2               0.000626148   
2D_p1_ref3_shy3_smo2_th0.25  2    1       3            3    2          0.25       9               0.00439372      0.000197166          2               0.000621618   
2D_p1_ref3_shy3_smo2_th0.5   2    1       3            3    2          0.5        9               0.00430582      0.000208185          2               0.000622057   
2D_p1_ref3_shy3_smo2_th0.75  2    1       3            3    2          0.75       9               0.00411185      0.000205646          1               0.000477781   
2D_p1_ref3_shy3_smo2_th1.    2    1       3            3    2          1.         7               0.00323616      0.000191906          2               0.000631778   
2D_p1_ref3_shy3_smo3_th0.25  2    1       3            3    3          0.25       9               0.00488391      0.000213996          2               0.000607728   
2D_p1_ref3_shy3_smo3_th0.5   2    1       3            3    3          0.5        9               0.00478493      0.000211056          2               0.000612268   
2D_p1_ref3_shy3_smo3_th0.75  2    1       3            3    3          0.75       9               0.00450513      0.000202436          1               0.000488141   
2D_p1_ref3_shy3_smo3_th1.    2    1       3            3    3          1.         6               0.00316342      0.000200356          2               0.000625068   
2D_p1_ref4_shy1_smo1_th0.25  2    1       4            1    1          0.25       11              0.0170123       0.000598848          12              0.00290675    
2D_p1_ref4_shy1_smo1_th0.5   2    1       4            1    1          0.5        10              0.0153344       0.000593229          11              0.00266744    
2D_p1_ref4_shy1_smo1_th0.75  2    1       4            1    1          0.75       10              0.015139        0.000585388          11              0.00267137    
2D_p1_ref4_shy1_smo1_th1.    2    1       4            1    1          1.         8               0.0121747       0.000584668          12              0.0028723     
2D_p1_ref4_shy1_smo2_th0.25  2    1       4            1    2          0.25       10              0.0172883       0.000653107          12              0.00290362    
